12:30:46 PM  [main] 	Initializing Control Panel
12:30:46 PM  [main] 	Windows Version:  Pro  64-bit
12:30:46 PM  [main] 	XAMPP Version: 8.0.7
12:30:46 PM  [main] 	Control Panel Version: 3.3.0  [ Compiled: Apr 6th 2021 ]
12:30:46 PM  [main] 	You are not running with administrator rights! This will work for
12:30:46 PM  [main] 	most application stuff but whenever you do something with services
12:30:46 PM  [main] 	there will be a security dialogue or things will break! So think 
12:30:46 PM  [main] 	about running this application with administrator rights!
12:30:46 PM  [main] 	XAMPP Installation Directory: "c:\xampp\"
12:30:46 PM  [main] 	Checking for prerequisites
12:30:48 PM  [main] 	All prerequisites found
12:30:48 PM  [main] 	Initializing Modules
12:30:48 PM  [main] 	Starting Check-Timer
12:30:48 PM  [main] 	Control Panel Ready
12:30:49 PM  [Apache] 	Attempting to start Apache app...
12:30:49 PM  [Apache] 	Status change detected: running
12:30:50 PM  [mysql] 	Attempting to start MySQL app...
12:30:50 PM  [mysql] 	Status change detected: running
4:24:23 PM  [main] 	Deinitializing Modules
4:24:23 PM  [main] 	Deinitializing Control Panel

